GT Program,Type,Benchmark Info,Semantics,Question Selector,Correct?,Initial Synthesis Time,Active Learning Time,Initial Program Space Size,Final Program Space Size,Input Space Size,Question Space Size,Avg. Answer Space Size per Question,Avg. Prediction Set Size,# Rounds,Time Per Round
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,CCE,SmartLabel,TRUE,4.185984875075520,110.77177574997800,4983,11,336,1339,9.659511472982980,1.1332020997375300,12,"[8.511425874894485, 3.4558322499506176, 2.580765499966219, 2.536193792009726, 2.564091125037521, 2.0093408331740648, 3.7419045420829207, 10.599331583129242, 17.06739708315581, 17.2411756250076, 17.544482917059213, 20.827906749909744]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,CCE,SmartLabel,TRUE,2.9170655829366300,0.16853654105216300,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,CCE,SmartLabel,TRUE,2.3123754158150400,0.133091458119452,2,2,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,CCE,SmartLabel,TRUE,2.682184709003200,5.794826708035540,65,1,116,613,15.217532467532500,1.1502403846153800,3,"[5.100344707956538, 0.3617374999448657, 0.23183525004424155]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,CCE,SmartLabel,TRUE,2.7400485831312800,20.48715570801870,441,3,116,608,15.217532467532500,1.1502403846153800,8,"[5.553824040805921, 3.835645833052695, 3.2705538750160486, 3.280291625065729, 3.231085541192442, 0.5055105830542743, 0.3563997920136899, 0.2635813341476023]"
Complement(IsObject(Car)),Search,cars,CCE,SmartLabel,TRUE,69.14872449985710,150.51697149989200,8603,1,116,613,15.217532467532500,1.1502403846153800,3,"[80.87245620787144, 68.90383566706441, 0.7158594578504562]"
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,CCE,SmartLabel,TRUE,2.352211209014060,0.34071208303794300,4,1,116,615,15.217532467532500,1.1502403846153800,1,[0.2978069169912487]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,CCE,SmartLabel,TRUE,2.4035952920094100,23.916731333127200,225,1,116,610,15.217532467532500,1.1502403846153800,6,"[7.8847717919852585, 3.992275666911155, 3.6251212500501424, 4.006626500049606, 4.118389750132337, 0.23352133389562368]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,CCE,SmartLabel,TRUE,4.0144264169503,6.179801041958850,540,1,116,615,15.217532467532500,1.1502403846153800,1,[6.0613492908887565]
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,CCE,SmartLabel,TRUE,2.2230342079419600,5.132712332997470,157,1,116,613,15.217532467532500,1.1502403846153800,3,"[4.4704315001145005, 0.4153073749039322, 0.18508516601286829]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,CCE,SmartLabel,TRUE,2.56789887486957,6.50185758410953,119,1,116,614,15.217532467532500,1.1502403846153800,2,"[5.786946916952729, 0.6595425829291344]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,CCE,SmartLabel,TRUE,2.4107912920881100,2.5576344579458200,32,1,116,615,15.217532467532500,1.1502403846153800,1,[2.468143624952063]
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,CCE,SmartLabel,TRUE,1.6731472078245100,1.136466790921990,20,1,116,615,15.217532467532500,1.1502403846153800,1,[1.0322335420642048]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,CCE,SmartLabel,TRUE,4.227130917133760,0.060741708148270800,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,CCE,SmartLabel,TRUE,2.695218542125080,365.14261854207100,546,93,116,599,15.217532467532500,1.1502403846153800,17,"[5.376039708033204, 3.8374765829648823, 3.65343724982813, 15.511083375196904, 21.79127070796676, 21.125019958009943, 21.413074291078374, 20.888918958837166, 21.452220750041306, 54.94391137477942, 22.809728792170063, 29.146279250038788, 32.4741019171197, 27.15770454192534, 26.47792762494646, 27.924447000026703, 3.8670793750789016]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,CCE,SmartLabel,TRUE,2.714972750050950,10.28224041708750,95,1,116,614,15.217532467532500,1.1502403846153800,2,"[5.070835874881595, 5.124377541011199]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,CCE,SmartLabel,TRUE,0.6760748748201880,1.7960285420995200,1209,1,510,1060,2.4373232799246000,1.2250816993464100,1,[1.7899182501714677]
"Union[IsObject(Cat), EyesOpen]",Search,cats,CCE,SmartLabel,TRUE,0.7438742499798540,2.3010784999933100,1192,1,510,1059,2.4373232799246000,1.2250816993464100,2,"[1.865646833088249, 0.42824212508276105]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,CCE,SmartLabel,TRUE,0.6689722500741480,6.218852875055750,1209,1,510,1057,2.4373232799246000,1.2250816993464100,4,"[1.742096000118181, 1.5048454999923706, 1.4935640001203865, 1.466195542132482]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,CCE,SmartLabel,TRUE,2.461938166990880,13.80461912509050,1746,1,510,1056,2.4373232799246000,1.2250816993464100,5,"[4.944457208039239, 3.014243375044316, 2.8220943328924477, 2.4049709169194102, 0.6053052500355989]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,CCE,SmartLabel,TRUE,4.141735708108170,110.56177408294800,299,56,338,1517,13.528524590163900,1.1565137130801700,8,"[10.5676292499993, 8.169987499946728, 8.121263124980032, 17.965892083011568, 8.519419000018388, 9.19834383414127, 30.002991874935105, 13.614098750054836]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,CCE,SmartLabel,TRUE,2.0490827078465400,30.418010208988600,160,18,338,1519,13.528524590163900,1.1565137130801700,6,"[12.721048083156347, 5.329486374976113, 2.6866406248882413, 2.495554791064933, 4.445809582946822, 1.5724063329398632]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,CCE,SmartLabel,TRUE,3.8001529588364100,10.274568540975500,3615,1,338,1524,13.528524590163900,1.1565137130801700,1,[10.085080708144233]
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,136.42245333292500,12.970203750068300,248,1,336,1348,9.659511472982980,1.1332020997375300,3,"[8.454704583156854, 3.9836912502069026, 0.35125279193744063]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,9.868336083833130,15.072351124836100,5245,1,336,1349,9.659511472982980,1.1332020997375300,2,"[8.22040579188615, 6.724158166907728]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE-NoAbs,SmartLabel,TRUE,2.809814166976140,15.48247449984770,3148,1,336,1348,9.659511472982980,1.1332020997375300,4,"[6.544568500015885, 6.277845875127241, 1.7165920410770923, 0.8591143330559134]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE-NoAbs,SmartLabel,TIMEOUT,15.198557208059400,600.013397624949,196,7,336,1330,9.659511472982980,1.1332020997375300,22,"[7.413037542020902, 7.856859042076394, 11.02288895798847, 11.481253999983892, 9.33523783297278, 11.28783724992536, 10.094679249916226, 9.034907666966319, 17.33598608407192, 18.893406916875392, 19.05240804096684, 19.468742874916643, 18.98983612516895, 19.11817408306524, 19.05631950008683, 20.18071704194881, 19.95666633406654, 21.029654916841537, 68.91784379212186, 71.4965875830967, 69.22219470795244, 70.736882916186]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,7.918811000185090,5.995763832936060,28,1,336,1350,9.659511472982980,1.1332020997375300,1,[5.792162291938439]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,3.0835769169498200,0.6414367500692610,2,1,336,1350,9.659511472982980,1.1332020997375300,1,[0.41828650003299117]
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE-NoAbs,SmartLabel,TRUE,431.95634820801200,112.21119399997400,3450,1,336,1339,9.659511472982980,1.1332020997375300,13,"[6.616395167075098, 7.230749957961962, 8.017218875000253, 9.933478540973738, 8.642043791012838, 9.52467770804651, 11.127837375039235, 9.175276959082112, 8.32413045805879, 9.298039291985333, 8.183690124889836, 7.417559625115246, 8.613191207870841]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,105.47936420794600,9.870433832984420,327,1,336,1350,9.659511472982980,1.1332020997375300,1,[9.705816749949008]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE-NoAbs,SmartLabel,TRUE,156.09883158304700,8.62180666695349,104,1,336,1349,9.659511472982980,1.1332020997375300,2,"[8.065411000046879, 0.3558265420142561]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE-NoAbs,SmartLabel,TRUE,25.465364250121600,35.43670633318830,4796,1,336,1344,9.659511472982980,1.1332020997375300,7,"[12.111238541081548, 6.815700792009011, 6.06487587490119, 2.712248999858275, 2.6404331249650568, 2.6334984169807285, 2.3389147501438856]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,66.31288554193450,15.700919708004200,1061,1,336,1348,9.659511472982980,1.1332020997375300,3,"[8.017097083153203, 7.274897875031456, 0.2980205419007689]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,CCE-NoAbs,SmartLabel,TRUE,16.64930804190230,54.80623766686770,14988,2,336,1346,9.659511472982980,1.1332020997375300,6,"[15.642591167008504, 6.52173599996604, 8.358281959081069, 8.166267625056207, 7.643693458056077, 8.105208999942988]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,116.90260666701900,0.17550299991853500,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,2.782131457934160,74.4143402078189,6515,1,336,1345,9.659511472982980,1.1332020997375300,7,"[33.24607016611844, 6.0050421671476215, 6.709022749913856, 8.968807209050283, 10.346203166991472, 8.622158916899934, 0.35590862506069243]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,24.276774709112900,117.2793283329810,4983,11,336,1339,9.659511472982980,1.1332020997375300,12,"[9.792440624907613, 3.4777904578950256, 2.589694125112146, 2.5635114579927176, 2.53452020813711, 2.010274500120431, 3.7447579170111567, 11.531225417042151, 18.411383375059813, 17.926514249993488, 18.512629749951884, 22.03204416600056]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,CCE-NoAbs,SmartLabel,TRUE,60.450638292124500,0.1649454589933160,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,13.963867499958700,0.11569091607816500,2,2,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,CCE-NoAbs,SmartLabel,TRUE,59.22152516595090,5.9472580421716000,65,1,116,613,15.217532467532500,1.1502403846153800,3,"[5.257572124945, 0.3583484161645174, 0.23512424994260073]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,CCE-NoAbs,SmartLabel,TRUE,63.28851395798850,20.3887302079238,441,3,116,608,15.217532467532500,1.1502403846153800,8,"[5.560710750054568, 3.849732874892652, 3.2205790001899004, 3.216194208012894, 3.1795432919170707, 0.5124908331781626, 0.3522870410233736, 0.30315058305859566]"
Complement(IsObject(Car)),Search,cars,CCE-NoAbs,SmartLabel,TRUE,86.8514209589921,148.4569792081600,8603,1,116,613,15.217532467532500,1.1502403846153800,3,"[78.0487720828969, 69.6584464169573, 0.7234449170064181]"
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,CCE-NoAbs,SmartLabel,TRUE,3.978936333907770,0.35816150018945300,4,1,116,615,15.217532467532500,1.1502403846153800,1,[0.3065563328564167]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,CCE-NoAbs,SmartLabel,TRUE,22.155103750061200,21.04804770788180,225,1,116,610,15.217532467532500,1.1502403846153800,6,"[4.8843555841594934, 4.055185165954754, 3.6359033749904484, 3.9959857501089573, 4.17945579206571, 0.23294479213654995]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,222.705740083009,6.7279117500875100,540,1,116,615,15.217532467532500,1.1502403846153800,1,[6.603026959113777]
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,CCE-NoAbs,SmartLabel,TRUE,93.32706866692750,5.781646667048340,157,1,116,613,15.217532467532500,1.1502403846153800,3,"[5.096004249993712, 0.42663554195314646, 0.1883575830142945]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,CCE-NoAbs,SmartLabel,TRUE,58.85078208404590,7.924880207981910,119,1,116,614,15.217532467532500,1.1502403846153800,2,"[7.1153281659353524, 0.7141595829743892]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,6.268454874865710,2.8615492498502100,32,1,116,615,15.217532467532500,1.1502403846153800,1,[2.7742909172084183]
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,0.7791133329737930,1.127523124916480,20,1,116,615,15.217532467532500,1.1502403846153800,1,[1.0383434160612524]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,167.19478679215500,0.07523912494070830,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,CCE-NoAbs,SmartLabel,TRUE,5.839106749976050,372.9032271669710,546,93,116,599,15.217532467532500,1.1502403846153800,17,"[5.40097004105337, 4.159481249982491, 3.640365625033155, 15.702071000123397, 22.8093976250384, 21.497792416950688, 21.950751250144094, 21.191330583998933, 22.111580124823377, 55.221953083062544, 24.488634834066033, 29.885182874975726, 33.652293040882796, 27.614654625067487, 27.01795066613704, 27.47095449990593, 3.7999874588567764]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,CCE-NoAbs,SmartLabel,TRUE,396.78629620792300,10.506538874935400,95,1,116,614,15.217532467532500,1.1502403846153800,2,"[5.052323832875118, 5.358607959002256]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,CCE-NoAbs,SmartLabel,TRUE,0.4421989161055540,1.7366654998622800,1209,1,510,1060,2.4373232799246000,1.2250816993464100,1,[1.729740290902555]
"Union[IsObject(Cat), EyesOpen]",Search,cats,CCE-NoAbs,SmartLabel,TRUE,0.5332802499178800,2.580108124995600,1192,1,510,1059,2.4373232799246000,1.2250816993464100,2,"[2.050919624976814, 0.5210912500042468]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,CCE-NoAbs,SmartLabel,TRUE,0.49631508300080900,6.131139625096690,1209,1,510,1057,2.4373232799246000,1.2250816993464100,4,"[1.628943624906242, 1.4859502499457449, 1.525402416009456, 1.4780369999352843]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,CCE-NoAbs,SmartLabel,TRUE,6.33578887488693,15.779766583815200,1746,1,510,1056,2.4373232799246000,1.2250816993464100,5,"[5.874176417011768, 3.468121125129983, 3.274521167157218, 2.4898128751665354, 0.6569023749325424]"
"Map(IsObject(Guitar), IsObject(Face), GetAbove)",Edit,festival,CCE-NoAbs,SmartLabel,TRUE,269.54861862491800,114.44886283297100,299,56,338,1517,13.528524590163900,1.1565137130801700,8,"[12.091826624935493, 8.229464832926169, 8.208543417043984, 18.794736417010427, 8.94216095795855, 9.253766583977267, 30.378882540855557, 14.076286457944661]"
"Union[IsObject(Guitar), Map(IsObject(Guitar), IsObject(Face), GetAbove)]",Search,festival,CCE-NoAbs,SmartLabel,TRUE,1.6415830000769300,26.870450500166000,160,18,338,1519,13.528524590163900,1.1565137130801700,6,"[9.053158625029027, 5.336544333957136, 2.7599432088900357, 2.48792308405973, 4.517434292007238, 1.5759334999602288]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Guitar), IsObject(Face), GetAbove))]",Edit,festival,CCE-NoAbs,SmartLabel,TRUE,4.776581957936290,13.651712915860100,3615,1,338,1524,13.528524590163900,1.1565137130801700,1,[13.494714166969061]
"Map(Union[IsObject(Glasses), Smile, EyesOpen], IsObject(Person), GetBelow)",Edit,wedding,CCE,SmartLabelNoUB,TRUE,4.352720250142740,160.17959941690800,248,1,336,1348,9.659511472982980,1.1332020997375300,3,"[112.15688233287074, 44.58432112517767, 3.2593300419393927]"
"Union[Map(IsObject(Bride), IsObject(Face), GetRight), Map(IsObject(Bride), IsObject(Face), GetLeft)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,3.703903874848040,177.51498416694800,5245,1,336,1349,9.659511472982980,1.1332020997375300,2,"[86.33740183291957, 91.02123779198155]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetAbove)]",Search,wedding,CCE,SmartLabelNoUB,TRUE,2.6375941659789500,179.08868691697700,3148,1,336,1348,9.659511472982980,1.1332020997375300,4,"[75.80156437493861, 77.77274029096588, 15.803666582796723, 9.628589041996747]"
"Map(IsObject(Face), IsObject(Face), GetAbove)",Edit,wedding,CCE,SmartLabelNoUB,TIMEOUT,2.935186916962270,600.0031875001730,196,7,336,1347,9.659511472982980,1.1332020997375300,5,"[100.26415150007233, 107.00367058301345, 108.52601487492211, 107.90467141615227, 109.66884566610679]"
"Intersection[Complement(Smile), Map(IsObject(Face), IsObject(Face), GetAbove)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,2.369441291084510,60.32536079105920,28,1,336,1350,9.659511472982980,1.1332020997375300,1,[60.098721083952114]
"Intersection[Map(IsObject(Face), IsObject(Face), GetRight), Map(IsObject(Face), IsObject(Face), GetLeft)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,2.570525832939890,4.572280167136340,2,1,336,1350,9.659511472982980,1.1332020997375300,1,[4.338972999947146]
"Intersection[Smile, EyesOpen]",Search ,wedding,CCE,SmartLabelNoUB,TIMEOUT,25.635364084038900,600.0150339161050,3450,7,336,1345,9.659511472982980,1.1332020997375300,7,"[80.4645905829966, 82.14428454195149, 81.02896929206327, 81.64322208310477, 77.3866472078953, 79.66679154220037, 83.69147333386354]"
"Intersection[IsObject(Face), Complement(Intersection[Smile, EyesOpen])]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,3.10158179118298,127.19273437489800,327,1,336,1350,9.659511472982980,1.1332020997375300,1,[126.98544066702016]
"Intersection[Smile, EyesOpen, Complement(MouthOpen)]",Search,wedding,CCE,SmartLabelNoUB,TRUE,4.770356999943030,84.87796804215760,104,1,336,1349,9.659511472982980,1.1332020997375300,2,"[81.87759004184045, 2.8318129999097437]"
"Union[Map(IsObject(Bride), IsObject(Face), GetAbove), Map(IsObject(Suit), IsObject(Face), GetAbove)]",Search,wedding,CCE,SmartLabelNoUB,TRUE,4.731623499887060,348.23518066713600,4796,1,336,1344,9.659511472982980,1.1332020997375300,7,"[99.45020920899697, 81.81486404198222, 75.70471462514251, 27.753552959067747, 23.339718207949772, 20.924901165999472, 19.11028095916845]"
"Intersection[IsObject(Face), Complement(Smile)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,3.972408083966000,181.31123141711600,1061,1,336,1348,9.659511472982980,1.1332020997375300,3,"[98.68652854207903, 80.2221602499485, 2.303261375054717]"
"Union[IsObject(Glasses), Intersection[Smile, EyesOpen]]",Search,wedding,CCE,SmartLabelNoUB,TRUE,6.0843308749608700,475.30229024984900,14988,2,336,1346,9.659511472982980,1.1332020997375300,6,"[86.23570700013079, 77.09795604110695, 77.21376374992542, 79.87038129195571, 78.10529483295977, 76.42505674995482]"
"Map(Map(IsObject(Face), IsObject(Face), GetRight), IsObject(Face), GetRight)",Edit,wedding,CCE,SmartLabelNoUB,TRUE,4.1655144998803700,0.17053954186849300,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[EyesOpen, Intersection[IsObject(Face), Complement(MouthOpen)]]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,3.361969333142040,459.93421075004200,6515,1,336,1345,9.659511472982980,1.1332020997375300,7,"[83.30359016708098, 73.20942554087378, 70.87268924992532, 80.8537088748999, 75.5260593330022, 72.6980426250957, 3.3015444159973413]"
"Union[Smile, Map(Smile, IsObject(Face), GetRight)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,4.64304945897311,333.37500283285000,4983,11,336,1339,9.659511472982980,1.1332020997375300,12,"[82.92974429111928, 42.9529862080235, 25.47448241710663, 21.56984354206361, 21.493837834103033, 19.73746445798315, 19.643874166999012, 19.644287707982585, 19.68773316591978, 19.47758554108441, 19.37765129096806, 19.276161416899413]"
"Union[IsObject(Bride), Map(IsObject(Bride), IsObject(Face), GetLeft), Map(IsObject(Bride), IsObject(Face), GetRight)]",Edit,wedding,CCE,SmartLabelNoUB,TRUE,2.9084031668026,0.15888862498104600,1,1,336,1351,9.659511472982980,1.1332020997375300,0,[]
"Union[IsObject(Car), IsObject(Bicycle)]",Search,cars,CCE,SmartLabelNoUB,TRUE,2.210701207863170,0.10223491583019500,2,2,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(Intersection[Smile, EyesOpen], IsObject(Car), GetIsContained)",Search,cars,CCE,SmartLabelNoUB,TRUE,3.932465499965470,96.44162558321840,65,1,116,613,15.217532467532500,1.1502403846153800,3,"[88.67982700001448, 4.9393872080836445, 2.7098871669732034]"
"Map(IsObject(Car), IsObject(Face), GetContains)",Edit,cars,CCE,SmartLabelNoUB,TRUE,2.884830124909060,318.1534080421550,441,3,116,608,15.217532467532500,1.1502403846153800,8,"[76.851393584162, 57.56930924998596, 56.22478616703302, 57.46921875001863, 56.527506000129506, 5.933039583032951, 4.603307875106111, 2.782527416944504]"
Complement(IsObject(Car)),Search,cars,CCE,SmartLabelNoUB,TRUE,75.36270525003780,266.019766750047,8603,1,116,613,15.217532467532500,1.1502403846153800,3,"[139.28784595802426, 122.45246524992399, 4.251456917030737]"
"Complement(Union[IsObject(Car), IsObject(Bicycle)])",Edit,cars,CCE,SmartLabelNoUB,TRUE,2.6661532081197900,4.253147334093230,4,1,116,615,15.217532467532500,1.1502403846153800,1,[4.158893000101671]
"Map(IsObject(Car), Union[IsObject(Person), IsObject(Bicycle)], GetContains)",Edit,cars,CCE,SmartLabelNoUB,TRUE,2.4919964158907500,317.3815365838820,225,1,116,610,15.217532467532500,1.1502403846153800,6,"[85.20711541594937, 60.75373095809482, 55.100274541880935, 57.67083037504926, 56.388571332907304, 2.208653167122975]"
"Intersection[EyesOpen, Complement(Map(IsObject(Car), EyesOpen, GetContains))]",Search,cars,CCE,SmartLabelNoUB,TRUE,3.984746041940530,75.55278454185460,540,1,116,615,15.217532467532500,1.1502403846153800,1,[75.42755866702646]
"Map(IsObject(Person), IsObject(Car), GetIsContained)",Search,cars,CCE,SmartLabelNoUB,TRUE,2.252118333010000,80.1700945419725,157,1,116,613,15.217532467532500,1.1502403846153800,3,"[71.34757099999115, 6.631528124911711, 2.1016680418979377]"
"Map(Map(IsObject(Helmet), IsObject(Person), GetBelow), IsObject(Bicycle), GetBelow)",Edit,cars,CCE,SmartLabelNoUB,TRUE,2.7899959159549300,83.92827858310190,119,1,116,614,15.217532467532500,1.1502403846153800,2,"[74.08175604208373, 9.796276499982923]"
"Intersection[IsObject(Bicycle), Complement(Map(IsObject(Person), IsObject(Bicycle), GetBelow))]",Search,cars,CCE,SmartLabelNoUB,TRUE,2.3782350830733800,36.206342624966100,32,1,116,615,15.217532467532500,1.1502403846153800,1,[36.1249293750152]
"Intersection[IsObject(Bicycle), Complement(Map(EyesOpen, IsObject(Bicycle), GetBelow))]",Search,cars,CCE,SmartLabelNoUB,TRUE,1.6876881669741100,16.81402758299370,20,1,116,615,15.217532467532500,1.1502403846153800,1,[16.724231666885316]
"Union[IsObject(Bicycle), IsObject(Car), IsObject(Person)]",Search,cars,CCE,SmartLabelNoUB,TRUE,4.090239624958490,0.04593633278273050,1,1,116,616,15.217532467532500,1.1502403846153800,0,[]
"Map(IsObject(Bicycle), Union[Smile, EyesOpen], GetAbove)",Edit,cars,CCE,SmartLabelNoUB,TIMEOUT,2.6344472910277500,600.0050780409950,546,7,116,606,15.217532467532500,1.1502403846153800,10,"[70.10208791587502, 56.906943042064086, 58.809214666020125, 59.434031459037215, 57.86312524997629, 57.29807833302766, 57.33397937496193, 58.74621483311057, 57.818683499936014, 52.250502875074744]"
"Intersection[IsObject(Face), Complement(Map(IsObject(Bicycle), IsObject(Face), GetAbove))]",Search,cars,CCE,SmartLabelNoUB,TRUE,2.6384909169282800,154.2311583328990,95,1,116,614,15.217532467532500,1.1502403846153800,2,"[74.59730808390304, 79.50427391682751]"
"Union[IsObject(Cat), IsObject(Face)]",Edit,cats,CCE,SmartLabelNoUB,TRUE,0.8163299588486550,3.6937645829748400,1209,1,510,1060,2.4373232799246000,1.2250816993464100,1,[3.6876663342118263]
"Union[IsObject(Cat), EyesOpen]",Search,cats,CCE,SmartLabelNoUB,TRUE,0.8131747920997440,5.0247014169581200,1192,1,510,1059,2.4373232799246000,1.2250816993464100,2,"[3.926681709010154, 1.090473750140518]"
"Intersection[IsObject(Cat), Complement(Map(IsObject(Cat), IsObject(Cat), GetBelow))]",Search,cats,CCE,SmartLabelNoUB,TRUE,0.9134460829664020,13.891396000050000,1209,1,510,1057,2.4373232799246000,1.2250816993464100,4,"[4.108565083006397, 3.3062556250952184, 3.2980057501699775, 3.16519287484698]"
"Intersection[Map(IsObject(Cat), IsObject(Cat), GetRight), Map(IsObject(Cat), IsObject(Cat), GetLeft)]",Edit,cats,CCE,SmartLabelNoUB,TRUE,2.5275089589413300,16.696268083062000,1746,1,510,1056,2.4373232799246000,1.2250816993464100,5,"[5.2246661670506, 3.647531541995704, 3.619449291843921, 3.4762084998656064, 0.7151096668094397]"
